title,eps,date,members,rating
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV (12 eps),        Jul 2020 - Sep 2020,"        443,686 members",8.43
Gotcha!,Music (1 eps),        Sep 2020 - Sep 2020,"        17,305 members",8.43
Kara no Kyoukai 7: Satsujin Kousatsu (Go),Movie (1 eps),        Aug 2009 - Aug 2009,"        169,522 members",8.43
Kaze ga Tsuyoku Fuiteiru,TV (23 eps),        Oct 2018 - Mar 2019,"        211,612 members",8.43
Mo Dao Zu Shi 2nd Season,ONA (8 eps),        Aug 2019 - Sep 2019,"        59,616 members",8.43
Mononoke,TV (12 eps),        Jul 2007 - Sep 2007,"        229,584 members",8.43
3-gatsu no Lion,TV (22 eps),        Oct 2016 - Mar 2017,"        496,415 members",8.42
Chihayafuru 2,TV (25 eps),        Jan 2013 - Jun 2013,"        190,064 members",8.42
Cross Game,TV (50 eps),        Apr 2009 - Mar 2010,"        103,292 members",8.42
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),        Jan 2019 - Mar 2019,"        1,043,268 members",8.42
Kono Oto Tomare! 2nd Season,TV (13 eps),        Oct 2019 - Dec 2019,"        93,454 members",8.42
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps),        Jan 2021 - Mar 2021,"        521,356 members",8.42
Usagi Drop,TV (11 eps),        Jul 2011 - Sep 2011,"        404,099 members",8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),        Sep 2018 - Sep 2018,"        48,154 members",8.41
Baccano!,TV (13 eps),        Jul 2007 - Nov 2007,"        738,222 members",8.41
Gintama°: Aizome Kaori-hen,OVA (2 eps),        Aug 2016 - Nov 2016,"        62,301 members",8.41
Grand Blue,TV (12 eps),        Jul 2018 - Sep 2018,"        470,958 members",8.41
Houseki no Kuni (TV),TV (12 eps),        Oct 2017 - Dec 2017,"        322,601 members",8.41
Hunter x Hunter,TV (62 eps),        Oct 1999 - Mar 2001,"        438,608 members",8.41
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV (11 eps),        Apr 2011 - Jun 2011,"        1,237,835 members",8.40
Barakamon,TV (12 eps),        Jul 2014 - Sep 2014,"        525,646 members",8.40
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),        Jan 2016 - Jan 2016,"        393,165 members",8.40
Natsume Yuujinchou Roku Specials,Special (2 eps),        Sep 2017 - Oct 2017,"        33,837 members",8.40
Non Non Biyori Nonstop,TV (12 eps),        Jan 2021 - Mar 2021,"        66,442 members",8.40
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),        Dec 2014 - Apr 2015,"        356,082 members",8.40
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps),        Sep 2019 - Sep 2019,"        216,579 members",8.40
Bakuman. 2nd Season,TV (25 eps),        Oct 2011 - Mar 2012,"        297,094 members",8.39
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),        Sep 2001 - Sep 2001,"        284,827 members",8.39
Hellsing Ultimate,OVA (10 eps),        Feb 2006 - Dec 2012,"        705,384 members",8.39
Kaze no Tani no Nausicaä,Movie (1 eps),        Mar 1984 - Mar 1984,"        287,722 members",8.39
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),        Oct 2012 - Oct 2012,"        167,204 members",8.39
Douluo Dalu: Xiaowu Juebie,ONA (13 eps),        May 2020 - Aug 2020,"        5,161 members",8.38
Kingdom 2nd Season,TV (39 eps),        Jun 2013 - Mar 2014,"        82,772 members",8.38
Kingdom 3rd Season,TV (? eps),        Apr 2020 - ,"        43,578 members",8.38
Kiseijuu: Sei no Kakuritsu,TV (24 eps),        Oct 2014 - Mar 2015,"        1,340,341 members",8.38
Tenki no Ko,Movie (1 eps),        Jul 2019 - Jul 2019,"        557,838 members",8.38
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),        Jan 2021 - Mar 2021,"        459,119 members",8.38
Psycho-Pass,TV (22 eps),        Oct 2012 - Mar 2013,"        1,272,602 members",8.37
Kamisama Hajimemashita: Kako-hen,OVA (4 eps),        Aug 2015 - Aug 2016,"        122,437 members",8.37
Mahou Shoujo Madoka★Magica,TV (12 eps),        Jan 2011 - Apr 2011,"        1,007,504 members",8.37
Major S6,TV (25 eps),        Apr 2010 - Sep 2010,"        51,977 members",8.37
Haikyuu!!: To the Top,TV (13 eps),        Jan 2020 - Apr 2020,"        550,162 members",8.36
Hotarubi no Mori e,Movie (1 eps),        Sep 2011 - Sep 2011,"        602,852 members",8.36
Katanagatari,TV (12 eps),        Jan 2010 - Dec 2010,"        459,524 members",8.36
Uchuu Senkan Yamato 2199,OVA (26 eps),        May 2012 - Oct 2013,"        94,738 members",8.36
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA (1 eps),        Feb 2014 - Feb 2014,"        64,811 members",8.35
One Outs,TV (25 eps),        Oct 2008 - Apr 2009,"        189,327 members",8.35
Ookami to Koushinryou II,TV (12 eps),        Jul 2009 - Sep 2009,"        406,432 members",8.35
Romeo no Aoi Sora,TV (33 eps),        Jan 1995 - Dec 1995,"        38,545 members",8.35
Sakamichi no Apollon,TV (12 eps),        Apr 2012 - Jun 2012,"        297,078 members",8.35
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV (13 eps),        Oct 2018 - Dec 2018,"        1,074,918 members",8.35
Tian Guan Ci Fu,ONA (11 eps),        Oct 2020 - Jan 2021,"        47,923 members",8.35
Bakemonogatari,TV (15 eps),        Jul 2009 - Jun 2010,"        1,115,918 members",8.35
Boku dake ga Inai Machi,TV (12 eps),        Jan 2016 - Mar 2016,"        1,484,208 members",8.35
Mobile Suit Gundam: The Origin,OVA (6 eps),        Feb 2015 - May 2018,"        53,593 members",8.35
Evangelion: 2.0 You Can (Not) Advance,Movie (1 eps),        Jul 2009 - Jul 2009,"        368,910 members",8.34
Gintama: Shiroyasha Koutan,Special (1 eps),        Sep 2008 - Sep 2008,"        55,115 members",8.34
Given,TV (11 eps),        Jul 2019 - Sep 2019,"        316,602 members",8.34
Kemono no Souja Erin,TV (50 eps),        Jan 2009 - Dec 2009,"        70,497 members",8.34
Luo Xiao Hei Zhan Ji (Movie),Movie (1 eps),        Sep 2019 - Sep 2019,"        8,917 members",8.34
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),        Jan 2019 - Jan 2019,"        67,981 members",8.34
Major: World Series,OVA (2 eps),        Dec 2011 - Jan 2012,"        30,500 members",8.34
Shinsekai yori,TV (25 eps),        Sep 2012 - Mar 2013,"        638,825 members",8.34
Shirobako,TV (24 eps),        Oct 2014 - Mar 2015,"        361,375 members",8.34
Natsume Yuujinchou,TV (13 eps),        Jul 2008 - Sep 2008,"        425,562 members",8.33
Natsume Yuujinchou Go Specials,Special (2 eps),        Mar 2017 - Apr 2017,"        33,929 members",8.33
NHK ni Youkoso!,TV (24 eps),        Jul 2006 - Dec 2006,"        568,739 members",8.33
Shelter,Music (1 eps),        Oct 2016 - Oct 2016,"        276,334 members",8.33
