title,eps,date,members,rating
Taishou Otome Otogibanashi,TV (? eps),        Oct 2021 - ,"        4,535 members",N/A
Girls & Panzer: Saishuushou Part 5,Movie (1 eps),         - ,"        4,508 members",N/A
Girls & Panzer: Saishuushou Part 6,Movie (1 eps),         - ,"        4,471 members",N/A
Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,TV (? eps),        Oct 2021 - ,"        4,426 members",N/A
Tensai Ouji no Akaji Kokka Saisei Jutsu,TV (? eps),         - ,"        4,417 members",N/A
Hizukuri,ONA (1 eps),        2019 - 2019,"        4,387 members",N/A
Sono Bisque Doll wa Koi wo Suru,TV (? eps),         - ,"        4,384 members",N/A
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),        May 2021 - May 2021,"        4,305 members",N/A
Sabikui Bisco,TV (? eps),         - ,"        4,195 members",N/A
Spriggan (ONA),ONA (? eps),        2021 - 2021,"        4,127 members",N/A
IDOLiSH7: Third Beat!,TV (? eps),        Jul 2021 - ,"        4,124 members",N/A
Tsuki to Laika to Nosferatu,TV (? eps),        2021 - ,"        4,116 members",N/A
Scarlet Nexus,TV (? eps),        Jul 2021 - ,"        4,105 members",N/A
Top wo Nerae 3!,OVA (? eps),         - ,"        4,045 members",N/A
Shikkakumon no Saikyou Kenja,TV (? eps),         - ,"        4,001 members",N/A
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV (? eps),         - ,"        3,997 members",N/A
Biblia Koshodou no Jiken Techou,Movie (1 eps),         - ,"        3,992 members",N/A
Mahoutsukai ni Narenakatta Onnanoko no Hanashi.,TV (? eps),        2021 - ,"        3,921 members",N/A
Shikizakura,TV (12 eps),        2021 - ,"        3,861 members",N/A
Koroshi Ai,TV (? eps),         - ,"        3,816 members",N/A
Musashino!,TV (? eps),         - ,"        3,635 members",N/A
Zuihou de Zhaohuan Shi,ONA (? eps),         - ,"        3,601 members",N/A
Ultraman 2,ONA (13 eps),         - ,"        3,595 members",N/A
Macross (Shin Series),TV (? eps),         - ,"        3,536 members",N/A
Saihate no Paladin,TV (? eps),        Oct 2021 - ,"        3,517 members",N/A
Ousama Ranking,TV (? eps),        Oct 2021 - ,"        3,413 members",N/A
Tsukipro The Animation 2,TV (? eps),        Jul 2021 - ,"        3,365 members",N/A
Sakkai Eightraid,Unknown (? eps),         - ,"        3,358 members",N/A
Obey Me!,Unknown (? eps),        2021 - ,"        3,312 members",N/A
Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Ouji-sama,Movie (1 eps),        Sep 2021 - Sep 2021,"        3,261 members",N/A
Mo Du Zhe,ONA (? eps),        2021 - ,"        3,221 members",N/A
Orient,TV (? eps),         - ,"        3,187 members",N/A
Chikyuugai Shounen Shoujo,Unknown (? eps),        2022 - ,"        3,114 members",N/A
Macross Δ Movie 2: Zettai Live!!!,Movie (1 eps),        2021 - 2021,"        3,102 members",N/A
Deatte 5-byou de Battle,TV (? eps),         - ,"        3,076 members",N/A
Eiga Daisuki Pompo-san (Movie),Movie (1 eps),        Jun 2021 - Jun 2021,"        3,028 members",N/A
Nora to Oujo to Noraneko Heart (Shin Anime),Unknown (? eps),         - ,"        3,009 members",N/A
BanG Dream! Movie: Poppin' Dream!,Movie (1 eps),        2022 - ,"        2,882 members",N/A
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",Movie (1 eps),        Jun 2021 - Jun 2021,"        2,874 members",N/A
Deemo the Movie,Movie (1 eps),         - ,"        2,780 members",N/A
Kageki Shoujo!!,TV (? eps),        Jul 2021 - ,"        2,718 members",N/A
Mint,Movie (1 eps),         - ,"        2,707 members",N/A
Yama no Susume: Next Summit,TV (? eps),         - ,"        2,662 members",N/A
Vampire in the Garden,ONA (? eps),        2021 - 2021,"        2,603 members",N/A
Collar x Malice,TV (? eps),         - ,"        2,569 members",N/A
Detective Conan: The Bomb Demon That Came From the Picture Book,Special (2 eps),         - ,"        2,562 members",N/A
BanG Dream! Film Live 2nd Stage,Movie (1 eps),        Aug 2021 - Aug 2021,"        2,556 members",N/A
Orbital Era,Movie (1 eps),         - ,"        2,515 members",N/A
